condition_group_id	condition_id	date_created	date_modified
358	291	2018-02-10 05:15:39	2018-02-10 05:15:39
358	292	2018-02-10 05:15:39	2018-02-10 05:15:39
359	293	2018-02-10 05:15:39	2018-02-10 05:15:39
359	294	2018-02-10 05:15:39	2018-02-10 05:15:39
359	295	2018-02-10 05:15:39	2018-02-10 05:15:39
360	296	2018-02-10 05:15:39	2018-02-10 05:15:39
360	297	2018-02-10 05:15:39	2018-02-10 05:15:39
360	298	2018-02-10 05:15:39	2018-02-10 05:15:39
360	299	2018-02-10 05:15:39	2018-02-10 05:15:39
360	300	2018-02-10 05:15:39	2018-02-10 05:15:39
361	301	2018-02-10 05:15:39	2018-02-10 05:15:39
361	302	2018-02-10 05:15:39	2018-02-10 05:15:39
361	303	2018-02-10 05:15:39	2018-02-10 05:15:39
361	304	2018-02-10 05:15:39	2018-02-10 05:15:39
361	305	2018-02-10 05:15:39	2018-02-10 05:15:39
361	306	2018-02-10 05:15:39	2018-02-10 05:15:39
363	307	2018-02-10 05:15:39	2018-02-10 05:15:39
363	308	2018-02-10 05:15:39	2018-02-10 05:15:39
363	309	2018-02-10 05:15:39	2018-02-10 05:15:39
363	310	2018-02-10 05:15:39	2018-02-10 05:15:39
364	311	2018-02-10 05:15:39	2018-02-10 05:15:39
364	312	2018-02-10 05:15:39	2018-02-10 05:15:39
364	313	2018-02-10 05:15:39	2018-02-10 05:15:39
364	314	2018-02-10 05:15:39	2018-02-10 05:15:39
364	315	2018-02-10 05:15:39	2018-02-10 05:15:39
364	316	2018-02-10 05:15:39	2018-02-10 05:15:39
365	317	2018-02-10 05:15:39	2018-02-10 05:15:39
365	318	2018-02-10 05:15:39	2018-02-10 05:15:39
365	319	2018-02-10 05:15:39	2018-02-10 05:15:39
365	320	2018-02-10 05:15:39	2018-02-10 05:15:39
365	321	2018-02-10 05:15:39	2018-02-10 05:15:39
366	322	2018-02-10 05:15:39	2018-02-10 05:15:39
366	323	2018-02-10 05:15:39	2018-02-10 05:15:39
366	324	2018-02-10 05:15:39	2018-02-10 05:15:39
367	325	2018-02-10 05:15:39	2018-02-10 05:15:39
367	326	2018-02-10 05:15:39	2018-02-10 05:15:39
367	327	2018-02-10 05:15:39	2018-02-10 05:15:39
367	328	2018-02-10 05:15:39	2018-02-10 05:15:39
367	329	2018-02-10 05:15:39	2018-02-10 05:15:39
367	330	2018-02-10 05:15:39	2018-02-10 05:15:39
367	331	2018-02-10 05:15:39	2018-02-10 05:15:39
367	332	2018-02-10 05:15:39	2018-02-10 05:15:39
367	333	2018-02-10 05:15:39	2018-02-10 05:15:39
368	334	2018-02-10 05:15:39	2018-02-10 05:15:39
368	335	2018-02-10 05:15:39	2018-02-10 05:15:39
368	336	2018-02-10 05:15:39	2018-02-10 05:15:39
368	337	2018-02-10 05:15:39	2018-02-10 05:15:39
369	338	2018-02-10 05:15:39	2018-02-10 05:15:39
369	339	2018-02-10 05:15:39	2018-02-10 05:15:39
369	340	2018-02-10 05:15:39	2018-02-10 05:15:39
369	341	2018-02-10 05:15:39	2018-02-10 05:15:39
371	342	2018-02-10 05:15:39	2018-02-10 05:15:39
371	343	2018-02-10 05:15:39	2018-02-10 05:15:39
371	344	2018-02-10 05:15:39	2018-02-10 05:15:39
371	345	2018-02-10 05:15:39	2018-02-10 05:15:39
371	346	2018-02-10 05:15:39	2018-02-10 05:15:39
